'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AlternatePrecedence(01_HOOFD_010, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_010';1.000;1.000;0.028
'AlternatePrecedence(01_HOOFD_020, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_020';1.000;0.999;0.028
'AlternatePrecedence(01_HOOFD_030_2, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_030_2';0.923;0.861;0.024
'AlternatePrecedence(01_HOOFD_180, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_180';0.974;0.877;0.024
'AlternatePrecedence(01_HOOFD_200, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_200';1.000;0.835;0.023
'AlternatePrecedence(01_HOOFD_380, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_380';1.000;0.830;0.023
'AlternatePrecedence(01_HOOFD_430, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_430';1.000;0.750;0.021
'AlternatePrecedence(01_HOOFD_480, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_480';1.000;0.751;0.021
'AlternatePrecedence(09_AH_I_010, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'09_AH_I_010';1.000;0.831;0.023
'AlternatePrecedence(01_HOOFD_010, 01_BB_770)';'AlternatePrecedence';'01_BB_770';'01_HOOFD_010';1.000;1.000;0.028
'AlternatePrecedence(01_HOOFD_015, 01_BB_770)';'AlternatePrecedence';'01_BB_770';'01_HOOFD_015';1.000;1.000;0.028
'AlternatePrecedence(01_HOOFD_020, 01_BB_770)';'AlternatePrecedence';'01_BB_770';'01_HOOFD_020';1.000;0.999;0.028
'AlternatePrecedence(01_HOOFD_030_1, 01_BB_770)';'AlternatePrecedence';'01_BB_770';'01_HOOFD_030_1';0.974;0.934;0.026
'AlternatePrecedence(01_HOOFD_030_2, 01_BB_770)';'AlternatePrecedence';'01_BB_770';'01_HOOFD_030_2';0.949;0.885;0.025
'AtLeast1(01_HOOFD_010)';'AtLeast1';'01_HOOFD_010';;1.000;1.000;1.000
'AtMost1(01_HOOFD_010)';'AtMost1';'01_HOOFD_010';;1.000;1.000;1.000
'RespondedExistence(01_HOOFD_010, 01_HOOFD_011)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_011';0.666;0.666;0.443
'CoExistence(01_HOOFD_010, 01_HOOFD_015)';'CoExistence';'01_HOOFD_010';'01_HOOFD_015';1.000;1.000;1.000
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_015)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_015';0.877;0.877;0.877
'RespondedExistence(01_HOOFD_010, 01_HOOFD_020)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_020';0.999;0.999;0.999
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_020)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_020';0.996;0.995;0.995
'RespondedExistence(01_HOOFD_010, 01_HOOFD_030_1)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_030_1';0.958;0.958;0.918
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_030_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_030_1';0.996;0.955;0.955
'RespondedExistence(01_HOOFD_010, 01_HOOFD_030_2)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_030_2';0.933;0.933;0.871
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_030_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_030_2';0.808;0.755;0.755
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_040)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_040';1.000;0.309;0.309
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_050)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_050';1.000;0.334;0.334
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_060)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_060';1.000;0.300;0.300
'AlternateResponse(01_HOOFD_010, 01_HOOFD_061)';'AlternateResponse';'01_HOOFD_010';'01_HOOFD_061';0.500;0.500;0.250
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_061)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_061';0.999;0.500;0.500
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_065_0)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_065_0';1.000;0.448;0.448
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_065_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_065_1';1.000;0.494;0.494
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_065_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_065_2';0.949;0.402;0.402
