'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMost3(Declaration APPROVED by ADMINISTRATION)';'AtMost3';'Declaration APPROVED by ADMINISTRATION';;0.998;0.631;0.398
'RespondedExistence(Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR)';'RespondedExistence';'Declaration APPROVED by ADMINISTRATION';'Declaration FINAL_APPROVED by SUPERVISOR';0.970;0.613;0.462
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Declaration SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Declaration APPROVED by ADMINISTRATION';'Declaration SUBMITTED by EMPLOYEE';0.990;0.625;0.493
'RespondedExistence(Declaration APPROVED by ADMINISTRATION, End trip)';'RespondedExistence';'Declaration APPROVED by ADMINISTRATION';'End trip';1.000;0.632;0.632
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, End trip)';'NotChainSuccession';'Declaration APPROVED by ADMINISTRATION';'End trip';0.993;0.627;0.627
'RespondedExistence(Declaration APPROVED by ADMINISTRATION, Payment Handled)';'RespondedExistence';'Declaration APPROVED by ADMINISTRATION';'Payment Handled';0.999;0.631;0.511
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Payment Handled)';'NotChainSuccession';'Declaration APPROVED by ADMINISTRATION';'Payment Handled';0.999;0.631;0.511
'NotSuccession(Declaration APPROVED by ADMINISTRATION, Permit APPROVED by ADMINISTRATION)';'NotSuccession';'Declaration APPROVED by ADMINISTRATION';'Permit APPROVED by ADMINISTRATION';1.000;0.632;0.501
'NotSuccession(Declaration APPROVED by ADMINISTRATION, Permit FINAL_APPROVED by SUPERVISOR)';'NotSuccession';'Declaration APPROVED by ADMINISTRATION';'Permit FINAL_APPROVED by SUPERVISOR';1.000;0.632;0.562
'NotSuccession(Declaration APPROVED by ADMINISTRATION, Permit SUBMITTED by EMPLOYEE)';'NotSuccession';'Declaration APPROVED by ADMINISTRATION';'Permit SUBMITTED by EMPLOYEE';1.000;0.632;0.631
'RespondedExistence(Declaration APPROVED by ADMINISTRATION, Request Payment)';'RespondedExistence';'Declaration APPROVED by ADMINISTRATION';'Request Payment';0.998;0.631;0.510
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Request Payment)';'NotChainSuccession';'Declaration APPROVED by ADMINISTRATION';'Request Payment';0.998;0.631;0.510
'RespondedExistence(Declaration APPROVED by ADMINISTRATION, Start trip)';'RespondedExistence';'Declaration APPROVED by ADMINISTRATION';'Start trip';1.000;0.632;0.632
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Start trip)';'NotChainSuccession';'Declaration APPROVED by ADMINISTRATION';'Start trip';0.999;0.632;0.632
