'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMost1(Payment Handled)';'AtMost1';'Payment Handled';;1.000;0.948;0.899
'NotSuccession(Payment Handled, Permit APPROVED by ADMINISTRATION)';'NotSuccession';'Payment Handled';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.704
'NotChainSuccession(Payment Handled, Permit FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Payment Handled';'Permit FINAL_APPROVED by SUPERVISOR';0.997;0.701;0.665
'NotChainSuccession(Payment Handled, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Payment Handled';'Permit SUBMITTED by EMPLOYEE';0.999;0.885;0.839
'NotSuccession(Payment Handled, Request For Payment APPROVED by ADMINISTRATION)';'NotSuccession';'Payment Handled';'Request For Payment APPROVED by ADMINISTRATION';1.000;0.814;0.772
'NotSuccession(Payment Handled, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotSuccession';'Payment Handled';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.933;0.884
'NotSuccession(Payment Handled, Request For Payment SUBMITTED by EMPLOYEE)';'NotSuccession';'Payment Handled';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.948;0.938
'CoExistence(Payment Handled, Request Payment)';'CoExistence';'Payment Handled';'Request Payment';0.999;0.948;0.898
'NotSuccession(Payment Handled, Request Payment)';'NotSuccession';'Payment Handled';'Request Payment';0.999;0.948;0.898
'AlternatePrecedence(Request For Payment FINAL_APPROVED by SUPERVISOR, Payment Handled)';'AlternatePrecedence';'Payment Handled';'Request For Payment FINAL_APPROVED by SUPERVISOR';0.980;0.914;0.867
'AlternatePrecedence(Request For Payment SUBMITTED by EMPLOYEE, Payment Handled)';'AlternatePrecedence';'Payment Handled';'Request For Payment SUBMITTED by EMPLOYEE';1.000;0.990;0.938
'AtMost3(Permit APPROVED by ADMINISTRATION)';'AtMost3';'Permit APPROVED by ADMINISTRATION';;1.000;0.742;0.551
'Response(Permit APPROVED by ADMINISTRATION, Payment Handled)';'Response';'Permit APPROVED by ADMINISTRATION';'Payment Handled';0.960;0.713;0.676
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Payment Handled)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Payment Handled';0.999;0.742;0.703
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Permit SUBMITTED by EMPLOYEE)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Permit SUBMITTED by EMPLOYEE';1.000;0.742;0.657
'RespondedExistence(Permit APPROVED by ADMINISTRATION, Request For Payment APPROVED by ADMINISTRATION)';'RespondedExistence';'Permit APPROVED by ADMINISTRATION';'Request For Payment APPROVED by ADMINISTRATION';0.966;0.717;0.584
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Request For Payment APPROVED by ADMINISTRATION)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Request For Payment APPROVED by ADMINISTRATION';0.999;0.742;0.604
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Request For Payment FINAL_APPROVED by SUPERVISOR)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Request For Payment FINAL_APPROVED by SUPERVISOR';1.000;0.742;0.692
'RespondedExistence(Permit APPROVED by ADMINISTRATION, Request For Payment SUBMITTED by EMPLOYEE)';'RespondedExistence';'Permit APPROVED by ADMINISTRATION';'Request For Payment SUBMITTED by EMPLOYEE';0.993;0.737;0.729
'RespondedExistence(Permit APPROVED by ADMINISTRATION, Request Payment)';'RespondedExistence';'Permit APPROVED by ADMINISTRATION';'Request Payment';0.960;0.713;0.676
'NotChainSuccession(Permit APPROVED by ADMINISTRATION, Request Payment)';'NotChainSuccession';'Permit APPROVED by ADMINISTRATION';'Request Payment';0.999;0.742;0.703
'ChainPrecedence(Permit SUBMITTED by EMPLOYEE, Permit APPROVED by ADMINISTRATION)';'ChainPrecedence';'Permit APPROVED by ADMINISTRATION';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.657
'AlternatePrecedence(Permit APPROVED by ADMINISTRATION, Permit APPROVED by BUDGET OWNER)';'AlternatePrecedence';'Permit APPROVED by BUDGET OWNER';'Permit APPROVED by ADMINISTRATION';1.000;0.742;0.216
'AlternatePrecedence(Permit SUBMITTED by EMPLOYEE, Permit APPROVED by BUDGET OWNER)';'AlternatePrecedence';'Permit APPROVED by BUDGET OWNER';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.258
'AlternatePrecedence(Permit SUBMITTED by EMPLOYEE, Permit APPROVED by SUPERVISOR)';'AlternatePrecedence';'Permit APPROVED by SUPERVISOR';'Permit SUBMITTED by EMPLOYEE';1.000;0.886;0.161
